V2	V(ce)	Ic(Q1)
Step Information: Vbb=0  (Step: 1/26)
5.000000000000000e-01	4.559845e-01	7.859932e-05
6.000000000000001e-01	5.559129e-01	7.872694e-05
7.000000000000001e-01	6.558416e-01	7.885420e-05
8.000000000000000e-01	7.557704e-01	7.898145e-05
9.000000000000000e-01	8.556991e-01	7.910871e-05
1.000000000000000e+00	9.556279e-01	7.923596e-05
1.100000000000000e+00	1.055557e+00	7.936321e-05
1.200000000000000e+00	1.155485e+00	7.949046e-05
1.300000000000000e+00	1.255414e+00	7.961770e-05
1.400000000000000e+00	1.355343e+00	7.974495e-05
1.500000000000000e+00	1.455272e+00	7.987220e-05
1.600000000000000e+00	1.555200e+00	7.999945e-05
1.700000000000000e+00	1.655129e+00	8.012670e-05
1.800000000000000e+00	1.755058e+00	8.025395e-05
1.900000000000000e+00	1.854987e+00	8.038120e-05
2.000000000000000e+00	1.954915e+00	8.050844e-05
2.100000000000000e+00	2.054844e+00	8.063569e-05
2.200000000000000e+00	2.154773e+00	8.076294e-05
2.300000000000000e+00	2.254701e+00	8.089019e-05
2.400000000000000e+00	2.354630e+00	8.101743e-05
2.500000000000000e+00	2.454559e+00	8.114468e-05
2.600000000000000e+00	2.554488e+00	8.127193e-05
2.700000000000000e+00	2.654417e+00	8.139917e-05
2.800000000000000e+00	2.754345e+00	8.152642e-05
2.900000000000000e+00	2.854274e+00	8.165366e-05
3.000000000000000e+00	2.954203e+00	8.178091e-05
3.100000000000000e+00	3.054132e+00	8.190815e-05
3.200000000000000e+00	3.154060e+00	8.203540e-05
3.300000000000000e+00	3.253989e+00	8.216265e-05
3.400000000000000e+00	3.353918e+00	8.228989e-05
3.500000000000000e+00	3.453846e+00	8.241714e-05
3.600000000000000e+00	3.553775e+00	8.254438e-05
3.700000000000000e+00	3.653704e+00	8.267163e-05
3.800000000000000e+00	3.753633e+00	8.279887e-05
3.900000000000000e+00	3.853561e+00	8.292611e-05
4.000000000000000e+00	3.953490e+00	8.305335e-05
4.100000000000001e+00	4.053419e+00	8.318060e-05
4.200000000000000e+00	4.153347e+00	8.330784e-05
4.300000000000000e+00	4.253276e+00	8.343509e-05
4.400000000000000e+00	4.353205e+00	8.356233e-05
4.500000000000000e+00	4.453134e+00	8.368957e-05
4.600000000000001e+00	4.553062e+00	8.381681e-05
4.700000000000000e+00	4.652991e+00	8.394405e-05
4.800000000000001e+00	4.752920e+00	8.407130e-05
4.900000000000000e+00	4.852849e+00	8.419853e-05
5.000000000000000e+00	4.952777e+00	8.432577e-05
5.100000000000001e+00	5.052706e+00	8.445302e-05
5.200000000000000e+00	5.152635e+00	8.458026e-05
5.300000000000001e+00	5.252564e+00	8.470750e-05
5.400000000000000e+00	5.352492e+00	8.483473e-05
5.500000000000000e+00	5.452421e+00	8.496198e-05
5.600000000000001e+00	5.552350e+00	8.508922e-05
5.700000000000000e+00	5.652279e+00	8.521645e-05
5.800000000000001e+00	5.752208e+00	8.534369e-05
5.900000000000000e+00	5.852136e+00	8.547094e-05
6.000000000000000e+00	5.952065e+00	8.559817e-05
6.100000000000001e+00	6.051994e+00	8.572541e-05
6.200000000000000e+00	6.151923e+00	8.585265e-05
6.300000000000001e+00	6.251851e+00	8.597989e-05
6.400000000000000e+00	6.351780e+00	8.610712e-05
6.500000000000000e+00	6.451709e+00	8.623436e-05
6.600000000000001e+00	6.551638e+00	8.636160e-05
6.700000000000000e+00	6.651566e+00	8.648884e-05
6.800000000000001e+00	6.751495e+00	8.661607e-05
6.900000000000000e+00	6.851424e+00	8.674331e-05
7.000000000000000e+00	6.951353e+00	8.687055e-05
7.100000000000001e+00	7.051281e+00	8.699778e-05
7.200000000000000e+00	7.151210e+00	8.712502e-05
7.300000000000001e+00	7.251139e+00	8.725225e-05
7.400000000000000e+00	7.351068e+00	8.737949e-05
7.500000000000000e+00	7.450996e+00	8.750672e-05
7.600000000000001e+00	7.550925e+00	8.763395e-05
7.700000000000000e+00	7.650854e+00	8.776119e-05
7.800000000000001e+00	7.750782e+00	8.788842e-05
7.900000000000000e+00	7.850711e+00	8.801566e-05
8.000000000000000e+00	7.950640e+00	8.814289e-05
8.100000000000000e+00	8.050569e+00	8.827013e-05
8.200000000000001e+00	8.150497e+00	8.839736e-05
8.300000000000001e+00	8.250426e+00	8.852460e-05
8.400000000000000e+00	8.350355e+00	8.865182e-05
8.500000000000000e+00	8.450284e+00	8.877906e-05
8.600000000000000e+00	8.550213e+00	8.890629e-05
8.700000000000001e+00	8.650141e+00	8.903353e-05
8.800000000000001e+00	8.750070e+00	8.916076e-05
8.900000000000000e+00	8.849998e+00	8.928799e-05
9.000000000000000e+00	8.949927e+00	8.941522e-05
9.100000000000000e+00	9.049856e+00	8.954245e-05
9.200000000000001e+00	9.149785e+00	8.966968e-05
9.300000000000001e+00	9.249714e+00	8.979691e-05
9.400000000000000e+00	9.349643e+00	8.992414e-05
9.500000000000000e+00	9.449572e+00	9.005138e-05
9.600000000000001e+00	9.549500e+00	9.017860e-05
9.700000000000001e+00	9.649428e+00	9.030584e-05
9.800000000000001e+00	9.749357e+00	9.043307e-05
9.900000000000000e+00	9.849286e+00	9.056029e-05
1.000000000000000e+01	9.949215e+00	9.068752e-05
Step Information: Vbb=800m  (Step: 5/26)
0.000000000000000e+00	1.637194e-03	-2.923560e-06
