time	V(vo)	V(n001)
1.016990003273579e-02	-1.809108e+00	-1.810710e+00
1.020896253273578e-02	-2.225890e+00	-2.226477e+00
1.024802503273578e-02	-2.640184e+00	-2.641908e+00
1.028708753273578e-02	-3.056193e+00	-3.056941e+00
1.032615003273578e-02	-3.469608e+00	-3.471514e+00
1.036521253273578e-02	-3.884566e+00	-3.885564e+00
1.040427503273578e-02	-4.296808e+00	-4.299029e+00
1.044333753273578e-02	-4.710372e+00	-4.711847e+00
1.048240003273578e-02	-5.116118e+00	-5.123955e+00
1.050644283058112e-02	-5.280197e+00	-5.377226e+00
1.052937078795965e-02	-5.344301e+00	-5.618468e+00
1.055999591695339e-02	-5.387622e+00	-5.940240e+00
1.058866166229809e-02	-5.412529e+00	-6.240927e+00
1.062772416229809e-02	-5.436257e+00	-6.649851e+00
1.070584916229809e-02	-5.467790e+00	-7.464634e+00
1.082303666229808e-02	-5.497787e+00	-8.678225e+00
1.094022416229808e-02	-5.516804e+00	-9.883996e+00
1.105741166229808e-02	-5.533807e+00	-1.107241e+01
1.117459916229808e-02	-5.548795e+00	-1.224348e+01
1.129178666229807e-02	-5.561769e+00	-1.339720e+01
1.140897416229807e-02	-5.572728e+00	-1.453356e+01
1.152616166229807e-02	-5.581673e+00	-1.565257e+01
1.164334916229807e-02	-5.588603e+00	-1.675423e+01
1.189446523372663e-02	-5.603334e+00	-1.905840e+01
1.214558130515520e-02	-5.616565e+00	-2.121326e+01
1.239669737658376e-02	-5.628296e+00	-2.321880e+01
1.264781344801233e-02	-5.638527e+00	-2.507503e+01
1.289892951944090e-02	-5.647259e+00	-2.678194e+01
1.315004559086946e-02	-5.654490e+00	-2.833953e+01
1.340116166229803e-02	-5.660222e+00	-2.974781e+01
1.393129559086945e-02	-5.670221e+00	-3.204298e+01
1.446142951944086e-02	-5.676227e+00	-3.342979e+01
1.499156344801228e-02	-5.678240e+00	-3.390825e+01
1.552169737658370e-02	-5.676261e+00	-3.347837e+01
1.605183130515512e-02	-5.670288e+00	-3.214013e+01
1.658196523372654e-02	-5.660322e+00	-2.989354e+01
1.711209916229795e-02	-5.646363e+00	-2.673860e+01
1.733531344801223e-02	-5.639647e+00	-2.518579e+01
1.755852773372651e-02	-5.631252e+00	-2.353100e+01
1.778174201944080e-02	-5.621177e+00	-2.177423e+01
1.800495630515508e-02	-5.609423e+00	-1.991548e+01
1.822817059086936e-02	-5.595990e+00	-1.795475e+01
1.845138487658364e-02	-5.580878e+00	-1.589203e+01
1.867459916229792e-02	-5.564086e+00	-1.372733e+01
1.875830451944078e-02	-5.557513e+00	-1.290497e+01
1.884200987658363e-02	-5.549041e+00	-1.207513e+01
1.892571523372649e-02	-5.538670e+00	-1.123782e+01
1.900942059086934e-02	-5.526399e+00	-1.039304e+01
1.909312594801220e-02	-5.512228e+00	-9.540784e+00
1.917683130515505e-02	-5.496159e+00	-8.681053e+00
1.926053666229791e-02	-5.478189e+00	-7.813849e+00
1.933866166229790e-02	-5.452335e+00	-7.000941e+00
1.937772416229790e-02	-5.434483e+00	-6.592875e+00
1.941678666229790e-02	-5.410200e+00	-6.183815e+00
1.945584916229790e-02	-5.370944e+00	-5.773826e+00
1.949491166229790e-02	-5.279914e+00	-5.362966e+00
1.951469666749973e-02	-5.146996e+00	-5.154555e+00
1.953245118551123e-02	-4.967369e+00	-4.967363e+00
1.953991109992361e-02	-4.889498e+00	-4.888664e+00
1.955065368367349e-02	-4.775613e+00	-4.775287e+00
1.956410448461060e-02	-4.634168e+00	-4.633252e+00
1.958271187222563e-02	-4.436990e+00	-4.436628e+00
1.960261868928327e-02	-4.227025e+00	-4.226107e+00
1.964168118928327e-02	-3.812903e+00	-3.812534e+00
1.968074368928327e-02	-3.399304e+00	-3.398387e+00
1.971980618928327e-02	-2.984103e+00	-2.983728e+00
1.975886868928327e-02	-2.569535e+00	-2.568620e+00
1.979793118928327e-02	-2.153504e+00	-2.153125e+00
1.983699368928327e-02	-1.738219e+00	-1.737306e+00
1.987605618928327e-02	-1.321609e+00	-1.321225e+00
1.991511868928326e-02	-9.058555e-01	-9.049453e-01
1.995418118928326e-02	-4.889165e-01	-4.885292e-01
1.999324368928326e-02	-7.294691e-02	-7.203955e-02
2.003230618928326e-02	3.440702e-01	3.444609e-01
2.007136868928326e-02	7.600054e-01	7.609096e-01
2.011043118928326e-02	1.176850e+00	1.177244e+00
2.014949368928326e-02	1.592500e+00	1.593400e+00
2.018855618928326e-02	2.008921e+00	2.009317e+00
2.022761868928326e-02	2.424035e+00	2.424931e+00
2.026668118928326e-02	2.839782e+00	2.840180e+00
2.030574368928326e-02	3.254109e+00	3.255002e+00
2.034480618928326e-02	3.668933e+00	3.669333e+00
2.038386868928325e-02	4.082223e+00	4.083111e+00
2.042293118928325e-02	4.495871e+00	4.496275e+00
2.046199368928325e-02	4.907819e+00	4.908761e+00
2.050105618928325e-02	5.319902e+00	5.320508e+00
2.053667650117737e-02	5.694212e+00	5.695276e+00
2.056971980819701e-02	6.041717e+00	6.042293e+00
2.060486403240715e-02	6.409646e+00	6.410659e+00
2.064392653240715e-02	6.818642e+00	6.819175e+00
2.068298903240715e-02	7.225699e+00	7.226665e+00
2.072205153240715e-02	7.632571e+00	7.633065e+00
2.076111403240715e-02	8.037394e+00	8.038317e+00
2.080017653240715e-02	8.441897e+00	8.442358e+00
2.083923903240715e-02	8.844240e+00	8.845127e+00
2.087830153240715e-02	9.246135e+00	9.246565e+00
2.091736403240715e-02	9.645756e+00	9.646610e+00
2.095642653240715e-02	1.004480e+01	1.004520e+01
2.099548903240715e-02	1.044146e+01	1.044228e+01
2.103455153240714e-02	1.083741e+01	1.083779e+01
2.107361403240714e-02	1.123087e+01	1.123166e+01
2.111267653240714e-02	1.162349e+01	1.162385e+01
2.115173903240714e-02	1.201351e+01	1.201428e+01
2.119080153240714e-02	1.240257e+01	1.240290e+01
2.122986403240714e-02	1.278891e+01	1.278966e+01
2.126892653240714e-02	1.317417e+01	1.317449e+01
2.130798903240714e-02	1.355661e+01	1.355733e+01
2.134705153240714e-02	1.393784e+01	1.393814e+01
2.138611403240714e-02	1.431614e+01	1.431684e+01
2.142517653240714e-02	1.469311e+01	1.469339e+01
2.146423903240714e-02	1.506704e+01	1.506773e+01
2.150330153240713e-02	1.543953e+01	1.543980e+01
