V1	I(D1)
Step Information: Temp=20  (Step: 1/3)
7.000000000000001e-01	6.358764e-04
7.100000000000000e-01	6.454031e-04
7.200000000000000e-01	6.549351e-04
7.300000000000000e-01	6.644722e-04
7.400000000000000e-01	6.740143e-04
7.500000000000000e-01	6.835613e-04
7.600000000000000e-01	6.931132e-04
7.700000000000000e-01	7.026697e-04
7.800000000000000e-01	7.122309e-04
7.900000000000000e-01	7.217966e-04
8.000000000000000e-01	7.313667e-04
Step Information: Temp=125  (Step: 3/3)
0.000000000000000e+00	0.000000e+00
1.000000000000000e-02	9.521239e-06
2.000000000000000e-02	1.904752e-05
3.000000000000000e-02	2.857873e-05
4.000000000000000e-02	3.811477e-05
5.000000000000000e-02	4.765555e-05
6.000000000000000e-02	5.720097e-05
7.000000000000001e-02	6.675093e-05
8.000000000000000e-02	7.630535e-05
9.000000000000000e-02	8.586414e-05
1.000000000000000e-01	9.542721e-05
1.100000000000000e-01	1.049945e-04
1.200000000000000e-01	1.145659e-04
1.300000000000000e-01	1.241413e-04
1.400000000000000e-01	1.337207e-04
1.500000000000000e-01	1.433040e-04
1.600000000000000e-01	1.528911e-04
1.700000000000000e-01	1.624820e-04
1.800000000000000e-01	1.720766e-04
1.900000000000000e-01	1.816748e-04
2.000000000000000e-01	1.912765e-04
2.100000000000000e-01	2.008817e-04
2.200000000000000e-01	2.104904e-04
2.300000000000000e-01	2.201024e-04
2.400000000000000e-01	2.297177e-04
2.500000000000000e-01	2.393363e-04
2.600000000000000e-01	2.489581e-04
2.700000000000000e-01	2.585831e-04
2.800000000000000e-01	2.682111e-04
2.900000000000000e-01	2.778422e-04
3.000000000000000e-01	2.874763e-04
3.100000000000000e-01	2.971133e-04
3.200000000000000e-01	3.067532e-04
3.300000000000000e-01	3.163960e-04
3.400000000000000e-01	3.260416e-04
3.500000000000000e-01	3.356900e-04
3.600000000000000e-01	3.453410e-04
3.700000000000000e-01	3.549948e-04
3.800000000000000e-01	3.646512e-04
3.900000000000000e-01	3.743102e-04
4.000000000000000e-01	3.839717e-04
4.100000000000000e-01	3.936357e-04
4.200000000000000e-01	4.033023e-04
4.300000000000000e-01	4.129712e-04
4.400000000000000e-01	4.226426e-04
4.500000000000000e-01	4.323164e-04
4.600000000000000e-01	4.419925e-04
4.700000000000000e-01	4.516709e-04
4.800000000000000e-01	4.613515e-04
4.900000000000000e-01	4.710344e-04
5.000000000000000e-01	4.807196e-04
5.100000000000000e-01	4.904069e-04
5.200000000000000e-01	5.000963e-04
5.300000000000000e-01	5.097878e-04
5.400000000000000e-01	5.194815e-04
5.500000000000000e-01	5.291772e-04
5.600000000000001e-01	5.388749e-04
5.700000000000001e-01	5.485746e-04
5.800000000000000e-01	5.582763e-04
5.900000000000000e-01	5.679800e-04
6.000000000000000e-01	5.776855e-04
6.100000000000000e-01	5.873930e-04
6.200000000000000e-01	5.971024e-04
6.300000000000000e-01	6.068136e-04
6.400000000000000e-01	6.165266e-04
6.500000000000000e-01	6.262414e-04
6.600000000000000e-01	6.359580e-04
6.700000000000000e-01	6.456764e-04
6.800000000000000e-01	6.553965e-04
6.900000000000001e-01	6.651183e-04
7.000000000000001e-01	6.748418e-04
7.100000000000000e-01	6.845670e-04
7.200000000000000e-01	6.942938e-04
7.300000000000000e-01	7.040222e-04
7.400000000000000e-01	7.137523e-04
7.500000000000000e-01	7.234839e-04
7.600000000000000e-01	7.332172e-04
7.700000000000000e-01	7.429519e-04
7.800000000000000e-01	7.526883e-04
7.900000000000000e-01	7.624261e-04
8.000000000000000e-01	7.721654e-04
