time	V(vo)
9.391557019058356e-03	6.448984e+00
9.405485819973044e-03	6.302533e+00
9.424651513077186e-03	6.102208e+00
9.449821815858130e-03	5.837436e+00
9.487085104191320e-03	5.446218e+00
9.526147604191319e-03	5.034138e+00
9.565210104191318e-03	4.622438e+00
9.604272604191317e-03	4.208910e+00
9.643335104191316e-03	3.795874e+00
9.682397604191316e-03	3.381147e+00
9.721460104191315e-03	2.967024e+00
9.760522604191314e-03	2.551347e+00
9.799585104191313e-03	2.136386e+00
9.838647604191312e-03	1.720009e+00
9.877710104191311e-03	1.304462e+00
9.916772604191311e-03	8.876357e-01
9.955835104191310e-03	4.717518e-01
9.994897604191309e-03	5.472720e-02
1.003396010419131e-02	-3.612420e-01
1.007302260419131e-02	-7.782145e-01
1.011208510419131e-02	-1.194018e+00
1.015114760419131e-02	-1.610687e+00
1.019021010419130e-02	-2.026075e+00
1.022927260419130e-02	-2.442191e+00
1.026833510419130e-02	-2.856911e+00
1.030739760419130e-02	-3.272223e+00
1.034646010419130e-02	-3.686025e+00
1.038552260419130e-02	-4.100284e+00
1.042458510419130e-02	-4.512920e+00
1.046364760419130e-02	-4.925876e+00
1.050271010419130e-02	-5.337096e+00
1.054177260419130e-02	-5.748500e+00
1.058083510419130e-02	-6.158054e+00
1.061989760419130e-02	-6.567620e+00
1.065896010419129e-02	-6.975156e+00
1.069694611489792e-02	-7.371508e+00
1.073600861489792e-02	-7.777044e+00
1.077321175579593e-02	-8.163127e+00
1.081227425579593e-02	-8.566319e+00
1.085133675579593e-02	-8.969175e+00
1.089039925579593e-02	-9.369729e+00
1.092946175579593e-02	-9.769817e+00
1.096852425579593e-02	-1.016749e+01
1.100758675579593e-02	-1.056457e+01
1.104664925579593e-02	-1.095913e+01
1.108571175579593e-02	-1.135296e+01
1.112477425579592e-02	-1.174416e+01
1.114557014520675e-02	-1.195104e+01
1.116214505594629e-02	-1.209914e+01
1.117759457275930e-02	-1.219125e+01
1.119610466142059e-02	-1.224949e+01
1.122146952731961e-02	-1.229257e+01
1.124814925871164e-02	-1.232027e+01
1.128721175871164e-02	-1.234731e+01
1.159971175871164e-02	-1.243430e+01
1.177270283014020e-02	-1.245492e+01
1.194569390156877e-02	-1.247315e+01
1.211868497299734e-02	-1.248899e+01
1.229167604442591e-02	-1.250244e+01
1.246466711585447e-02	-1.251351e+01
1.263765818728304e-02	-1.252218e+01
1.281064925871161e-02	-1.252847e+01
1.315663140156875e-02	-1.254099e+01
1.350261354442588e-02	-1.255130e+01
1.384859568728302e-02	-1.255942e+01
1.419457783014015e-02	-1.256534e+01
1.454055997299729e-02	-1.256905e+01
1.488654211585442e-02	-1.257057e+01
1.523252425871156e-02	-1.256989e+01
1.553944390156869e-02	-1.256841e+01
1.584636354442583e-02	-1.256504e+01
1.615328318728297e-02	-1.255978e+01
1.646020283014011e-02	-1.255262e+01
1.676712247299724e-02	-1.254356e+01
1.707404211585438e-02	-1.253261e+01
1.738096175871151e-02	-1.251976e+01
1.753721175871151e-02	-1.251343e+01
