V1	V(vg)	Ix(U1:G)
1.390000000000000e+01	3.856516e-01	2.875393e-03
1.400000000000000e+01	3.860674e-01	2.896581e-03
1.410000000000000e+01	3.864816e-01	2.917770e-03
1.420000000000000e+01	3.868942e-01	2.938959e-03
1.430000000000000e+01	3.873053e-01	2.960148e-03
1.440000000000000e+01	3.877150e-01	2.981337e-03
1.450000000000000e+01	3.881232e-01	3.002527e-03
1.460000000000000e+01	3.885299e-01	3.023717e-03
1.470000000000000e+01	3.889352e-01	3.044907e-03
1.480000000000000e+01	3.893391e-01	3.066098e-03
1.490000000000000e+01	3.897417e-01	3.087289e-03
1.500000000000000e+01	3.901428e-01	3.108480e-03
1.510000000000000e+01	3.905426e-01	3.129672e-03
1.520000000000000e+01	3.909411e-01	3.150864e-03
1.530000000000000e+01	3.913383e-01	3.172056e-03
1.540000000000000e+01	3.917341e-01	3.193248e-03
1.550000000000000e+01	3.921287e-01	3.214441e-03
1.560000000000000e+01	3.925220e-01	3.235634e-03
1.570000000000000e+01	3.929141e-01	3.256827e-03
1.580000000000000e+01	3.933050e-01	3.278020e-03
1.590000000000000e+01	3.936947e-01	3.299214e-03
1.600000000000000e+01	3.940832e-01	3.320408e-03
1.610000000000000e+01	3.944705e-01	3.341602e-03
1.620000000000000e+01	3.948566e-01	3.362797e-03
1.630000000000000e+01	3.952416e-01	3.383991e-03
1.640000000000000e+01	3.956254e-01	3.405186e-03
1.650000000000000e+01	3.960082e-01	3.426381e-03
1.660000000000000e+01	3.963898e-01	3.447577e-03
1.670000000000000e+01	3.967704e-01	3.468772e-03
1.680000000000000e+01	3.971499e-01	3.489968e-03
1.690000000000000e+01	3.975283e-01	3.511164e-03
1.700000000000000e+01	3.979057e-01	3.532361e-03
1.710000000000000e+01	3.982820e-01	3.553557e-03
1.720000000000000e+01	3.986574e-01	3.574754e-03
1.730000000000000e+01	3.990316e-01	3.595951e-03
1.740000000000000e+01	3.994050e-01	3.617148e-03
1.750000000000000e+01	3.997773e-01	3.638345e-03
1.760000000000000e+01	4.001487e-01	3.659543e-03
1.770000000000000e+01	4.005190e-01	3.680741e-03
1.780000000000000e+01	4.008885e-01	3.701939e-03
1.790000000000000e+01	4.012570e-01	3.723137e-03
1.800000000000000e+01	4.016246e-01	3.744335e-03
1.810000000000000e+01	4.019912e-01	3.765534e-03
1.820000000000000e+01	4.023570e-01	3.786732e-03
1.830000000000000e+01	4.027219e-01	3.807931e-03
1.840000000000000e+01	4.030859e-01	3.829131e-03
1.850000000000000e+01	4.034489e-01	3.850330e-03
1.860000000000000e+01	4.038112e-01	3.871530e-03
1.870000000000000e+01	4.041726e-01	3.892729e-03
1.880000000000000e+01	4.045331e-01	3.913929e-03
1.890000000000000e+01	4.048928e-01	3.935129e-03
1.900000000000000e+01	4.052517e-01	3.956330e-03
1.910000000000000e+01	4.056097e-01	3.977530e-03
1.920000000000000e+01	4.059670e-01	3.998730e-03
1.930000000000000e+01	4.063234e-01	4.019931e-03
1.940000000000000e+01	4.066791e-01	4.041132e-03
1.950000000000000e+01	4.070340e-01	4.062333e-03
1.960000000000000e+01	4.073881e-01	4.083534e-03
1.970000000000000e+01	4.077414e-01	4.104736e-03
1.980000000000000e+01	4.080940e-01	4.125937e-03
1.990000000000000e+01	4.084458e-01	4.147139e-03
2.000000000000000e+01	4.087969e-01	4.168341e-03
